language_name,language_code,country
Barein,bva,Chad
Bedjond,bjv,Chad
Berakou,bxv,Chad
Besme,bes,Chad
Bidiyo,bid,Chad
Birgit,btf,Chad
Bolgo,bvo,Chad
Bon Gula,glc,Chad
Boor,bvf,Chad
Bua,bub,Chad
Buduma,bdm,Chad
Buso,bso,Chad
Chadian Arabic,shu,Chad
Chadian Sign Language,cds,Chad
Dangaléat,daa,Chad
Dar Daju Daju,djc,Chad
Dar Sila Daju,dau,Chad
Day,dai,Chad
Dazaga,dzg,Chad
Disa,dsi,Chad
Fania,fni,Chad
Fongoro,fgr,Chad
Fur,fvr,Chad
Gabri,gab,Chad
Gadang,gdk,Chad
Gidar,gid,Chad
Gor,gqr,Chad
Goundo,goy,Chad
Gula,glu,Chad
Gula Iro,glj,Chad
Gulay,gvl,Chad
Herdé,hed,Chad
Horo,hor,Chad
Jaya,jyy,Chad
Jonkor Bourmataguil,jeu,Chad
Kaba,ksp,Chad
Kabalai,kvf,Chad
Kajakse,ckq,Chad
Kanembu,kbl,Chad
Karang,kzr,Chad
Karanga,kth,Chad
Kendeje,klf,Chad
Kenga,kyq,Chad
Kera,ker,Chad
Kibet,kie,Chad
Kim,kia,Chad
Kimré,kqp,Chad
Koke,kou,Chad
Kujarge,vkj,Chad
Kulfa,kxj,Chad
Kuo,xuo,Chad
Kwang,kvi,Chad
Laal,gdm,Chad
Lagwan,kot,Chad
Laka,lap,Chad
Lele,lln,Chad
Luto,ndy,Chad
Maba,mde,Chad
Mabire,muj,Chad
Majera,xmj,Chad
Malgbe,mxf,Chad
Mambai,mcs,Chad
Mango,mge,Chad
Mararit,mgb,Chad
Marba,mpg,Chad
Marfa,mvu,Chad
Masalit,mls,Chad
Masana,mcn,Chad
Maslam,msv,Chad
Masmaje,mes,Chad
Massalat,mdg,Chad
Mawa,mcw,Chad
Mbara,mpk,Chad
Mbay,myb,Chad
Mesme,zim,Chad
Migaama,mmy,Chad
Miltu,mlj,Chad
Mogum,mou,Chad
Morom,bdo,Chad
Mpade,mpi,Chad
Mser,kqx,Chad
Mubi,mub,Chad
Mukulu,moz,Chad
Mulgi,mvh,Chad
Mundang,mua,Chad
Musey,mse,Chad
Musgu,mug,Chad
Muskum,mje,Chad
Naba,mne,Chad
Nancere,nnc,Chad
Ndam,ndm,Chad
Ngam,nmc,Chad
Ngambay,sba,Chad
Ngete,nnn,Chad
Niellim,nie,Chad
Noy,noy,Chad
Nzakambay,nzy,Chad
Pana,pnz,Chad
Pévé,lme,Chad
Runga,rou,Chad
Saba,saa,Chad
Sar,mwm,Chad
Sara Kaba Démé,kwg,Chad
